subject,session,block,direction,fold,trials,rows,observed_r,observed_fisher_z,null_mean_fisher_z
M01,20240318,1,LtoR,0,15,112,0.2269404264039354,0.2309613888174341,0.05186599062229263
M01,20240318,1,LtoR,1,14,94,0.2193044169687436,0.22292526484856226,0.04217083198773892
M01,20240318,1,RtoL,0,15,115,0.44356423536884093,0.476659380616392,-0.004451627448500065
M01,20240318,1,RtoL,1,14,95,0.11036988639690466,0.11082134806958432,0.03833526714993032
M01,20240318,2,LtoR,0,14,154,-0.16518748425609536,-0.1667150580736196,-0.03517417639077967
M01,20240318,2,LtoR,1,13,138,0.1633732170185385,0.1648504686662816,-0.028840140800000014
M01,20240318,2,RtoL,0,14,165,0.1227649413892622,0.1233873187441483,-0.0069729028037335905
M01,20240318,2,RtoL,1,13,150,0.12226463189221605,0.12287938521817154,0.004200440570538784
M02,20240318,1,LtoR,0,11,98,0.2752667185214721,0.2825534635803865,0.019860142099032255
M02,20240318,1,LtoR,1,11,97,-0.12144412221463866,-0.12204650853054307,-0.00913767797788803
M02,20240318,1,RtoL,0,11,129,0.03137078000977935,0.03138107702232356,-0.023348713394867264
M02,20240318,1,RtoL,1,10,116,0.16089826808181298,0.16230870028736955,0.021807974044374765
M02,20240318,2,LtoR,0,13,162,0.17885212253576,0.18079662727273657,-0.0011934944106939379
M02,20240318,2,LtoR,1,13,169,0.13108691789384605,0.13184561198621794,0.010332540867387337
M02,20240318,2,RtoL,0,14,186,0.01584255034100435,0.01584387596220369,0.04698446375502932
M02,20240318,2,RtoL,1,13,180,-0.24489341280883076,-0.24997313932986534,-0.035164528520887195
M03,20240624,1,LtoR,0,12,165,-0.020504581804043773,-0.020507456163439224,0.002983408267224701
M03,20240624,1,LtoR,1,11,141,0.18280084277237849,0.1848788344254804,0.02477704451964744
M03,20240624,1,RtoL,0,12,150,0.34693506011849495,0.3619551958243242,0.09778435799630081
M03,20240624,1,RtoL,1,11,147,0.19538829607268376,0.19793326993002422,0.08633756230694428
M03,20240624,2,LtoR,0,10,139,0.1698010746732131,0.17146182527331907,0.03536447862064368
M03,20240624,2,LtoR,1,10,129,0.2355168299555144,0.24002231825938034,0.025094532295881027
M03,20240624,2,RtoL,0,10,132,0.4393556858330441,0.4714320843457234,0.022016358747375793
M03,20240624,2,RtoL,1,9,119,0.44764707123812214,0.48175380111716537,0.08074033144555952
