subject,session,block,direction,fold,area,max_abs_residual_difference
M01,20240318,1,LtoR,0,CA1,5.376254996747321e-13
M01,20240318,1,LtoR,0,RSC,2.1926904736346842e-13
M01,20240318,1,LtoR,1,CA1,1.2202461263655096e-12
M01,20240318,1,LtoR,1,RSC,1.9075643842292322e-12
M01,20240318,1,RtoL,0,CA1,4.893446758913456e-13
M01,20240318,1,RtoL,0,RSC,2.902122986370159e-13
M01,20240318,1,RtoL,1,CA1,6.356998261125568e-13
M01,20240318,1,RtoL,1,RSC,8.435752096858096e-13
M01,20240318,2,LtoR,0,CA1,4.571204526016004e-13
M01,20240318,2,LtoR,0,RSC,5.954958748333183e-14
M01,20240318,2,LtoR,1,CA1,9.27757870528012e-13
M01,20240318,2,LtoR,1,RSC,2.1314894294022224e-13
M01,20240318,2,RtoL,0,CA1,8.159584119482588e-13
M01,20240318,2,RtoL,0,RSC,1.5115131368759194e-12
M01,20240318,2,RtoL,1,CA1,1.6409096303959814e-13
M01,20240318,2,RtoL,1,RSC,1.858513343222512e-13
M02,20240318,1,LtoR,0,CA1,1.773844959807036e-12
M02,20240318,1,LtoR,0,RSC,6.840084054715589e-13
M02,20240318,1,LtoR,1,CA1,3.6540215297975465e-13
M02,20240318,1,LtoR,1,RSC,1.727326615075242e-12
M02,20240318,1,RtoL,0,CA1,1.1934481181086198e-12
M02,20240318,1,RtoL,0,RSC,2.627342787775433e-13
M02,20240318,1,RtoL,1,CA1,1.0196565813913594e-12
M02,20240318,1,RtoL,1,RSC,2.274083699127516e-12
M02,20240318,2,LtoR,0,CA1,7.674416657721395e-13
M02,20240318,2,LtoR,0,RSC,6.904407601204809e-13
M02,20240318,2,LtoR,1,CA1,2.4183988145409785e-12
M02,20240318,2,LtoR,1,RSC,1.381394998389851e-13
M02,20240318,2,RtoL,0,CA1,4.863331959370498e-13
M02,20240318,2,RtoL,0,RSC,1.0803302696871242e-12
M02,20240318,2,RtoL,1,CA1,1.236594160403115e-12
M02,20240318,2,RtoL,1,RSC,4.353462035311395e-14
M03,20240624,1,LtoR,0,CA1,5.761086052658015e-13
M03,20240624,1,LtoR,0,RSC,7.748107710980889e-13
M03,20240624,1,LtoR,1,CA1,1.3865852910299736e-12
M03,20240624,1,LtoR,1,RSC,1.0422218643668657e-13
M03,20240624,1,RtoL,0,CA1,2.526451270412622e-13
M03,20240624,1,RtoL,0,RSC,9.260092692642274e-13
M03,20240624,1,RtoL,1,CA1,1.7388868123191514e-14
M03,20240624,1,RtoL,1,RSC,5.439815264907111e-13
M03,20240624,2,LtoR,0,CA1,2.229438855749777e-12
M03,20240624,2,LtoR,0,RSC,1.5987211554602254e-13
M03,20240624,2,LtoR,1,CA1,2.6770252681274087e-13
M03,20240624,2,LtoR,1,RSC,5.007660952571769e-13
M03,20240624,2,RtoL,0,CA1,3.805414316992994e-12
M03,20240624,2,RtoL,0,RSC,2.880057303755734e-13
M03,20240624,2,RtoL,1,CA1,3.808064974464287e-14
M03,20240624,2,RtoL,1,RSC,1.4277468096679513e-12
