subject,session,block,direction,fold,trials,rows,observed_r,observed_fisher_z,null_mean_fisher_z
M01,20240318,1,LtoR,0,15,112,0.20101371099992948,0.203788726457809,0.028505886646507664
M01,20240318,1,LtoR,1,14,94,0.25265438802900775,0.25824617224730834,0.04588067827365243
M01,20240318,1,RtoL,0,15,115,0.4360546376698933,0.4673487129484336,-0.01595871906925576
M01,20240318,1,RtoL,1,14,95,0.07752127299213428,0.07767712460221511,0.0023444292526417247
M01,20240318,2,LtoR,0,14,154,-0.1801133277450626,-0.18209981358500998,-0.03187681490723687
M01,20240318,2,LtoR,1,13,138,0.13987806656146623,0.1408012071230237,-0.028959129864056996
M01,20240318,2,RtoL,0,14,165,0.1768169589811148,0.1786949986318053,-0.01210476483024921
M01,20240318,2,RtoL,1,13,150,0.12041683149081468,0.12100397145956718,0.001869649373751266
M02,20240318,1,LtoR,0,11,98,0.2822301435260143,0.29010357849633217,0.012940246806437076
M02,20240318,1,LtoR,1,11,97,-0.059653681266043604,-0.059724593169273345,-0.036451121946453745
M02,20240318,1,RtoL,0,11,129,0.016381624622628238,0.01638309023658132,-0.0056704636038766324
M02,20240318,1,RtoL,1,10,116,0.1877674443927186,0.19002201459676693,0.030110422471690792
M02,20240318,2,LtoR,0,13,162,0.1636783411269389,0.1651639761816601,-0.003182168832067213
M02,20240318,2,LtoR,1,13,169,0.10890165696264742,0.10933525551930309,0.027648006022967984
M02,20240318,2,RtoL,0,14,186,-0.009204049019901057,-0.009204308938639083,0.04117635562532017
M02,20240318,2,RtoL,1,13,180,-0.24524997629111417,-0.25035248645704344,-0.04190818797385345
M03,20240624,1,LtoR,0,12,165,-0.019673664473124547,-0.019676203313519307,-0.0015492863266481811
M03,20240624,1,LtoR,1,11,141,0.17660429901984828,0.17847548396265114,0.04023627286116795
M03,20240624,1,RtoL,0,12,150,0.31410848864773006,0.3250971453963242,0.0799310004003285
M03,20240624,1,RtoL,1,11,147,0.15878108504288058,0.16013600680964138,0.07178187104883677
M03,20240624,2,LtoR,0,10,139,0.12843101448772337,0.12914422253757332,0.0406585402727152
M03,20240624,2,LtoR,1,10,129,0.24871673370706582,0.2540444619048572,0.022247615958555268
M03,20240624,2,RtoL,0,10,132,0.3209796250105449,0.3327388730166807,0.03072563818876324
M03,20240624,2,RtoL,1,9,119,0.47071947724073787,0.5109942101304997,0.09553632986668076
