subject,session,block,direction,fold,trials,rows,observed_r,observed_fisher_z,null_mean_fisher_z
M01,20240318,1,LtoR,0,15,112,0.23024531355030062,0.2344484976651415,0.03296794137035466
M01,20240318,1,LtoR,1,14,94,0.27444722978404396,0.28166700614816637,0.0675701793348356
M01,20240318,1,RtoL,0,15,115,0.45128517551970315,0.4863129548213069,-0.001500944707090768
M01,20240318,1,RtoL,1,14,95,0.05800690551352357,0.05807209774580648,0.012665292334013924
M01,20240318,2,LtoR,0,14,154,-0.16444446781768715,-0.16595129448844245,-0.03472599553911154
M01,20240318,2,LtoR,1,13,138,0.15025634820959835,0.15140269506682416,-0.031845345829226046
M01,20240318,2,RtoL,0,14,165,0.13671399832086392,0.1375754406406543,-0.008175098392023758
M01,20240318,2,RtoL,1,13,150,0.09182086369191379,0.0920802263920996,0.0023637198387626525
M02,20240318,1,LtoR,0,11,98,0.2815646153116432,0.28938059776331937,0.013410001500593674
M02,20240318,1,LtoR,1,11,97,-0.09621840730219,-0.09651699709330427,-0.030042847870643565
M02,20240318,1,RtoL,0,11,129,0.02437966099612391,0.0243844928817864,-0.0038563207146614987
M02,20240318,1,RtoL,1,10,116,0.1802339450643131,0.1822244778221229,0.016474812077309817
M02,20240318,2,LtoR,0,13,162,0.18539888752492112,0.18756802499440256,-0.010005981640731531
M02,20240318,2,LtoR,1,13,169,0.15810505573046946,0.1594425692688446,0.032226475070646576
M02,20240318,2,RtoL,0,14,186,0.019245809820460768,0.019248186572350397,0.04094178490184955
M02,20240318,2,RtoL,1,13,180,-0.2265185323568562,-0.23051663145092227,-0.036528251111851276
M03,20240624,1,LtoR,0,12,165,-0.031073192531130462,-0.03108319916643224,0.004248122524333091
M03,20240624,1,LtoR,1,11,141,0.17169025415708847,0.17340773666559173,0.03166796603629533
M03,20240624,1,RtoL,0,12,150,0.3466525707864143,0.3616340881719335,0.0940947809110804
M03,20240624,1,RtoL,1,11,147,0.17030855571146727,0.17198441902477846,0.07904732934353378
M03,20240624,2,LtoR,0,10,139,0.2066225548784554,0.20964068960346588,0.04453456261114307
M03,20240624,2,LtoR,1,10,129,0.2379330246934255,0.24258195312618488,0.015410655873696893
M03,20240624,2,RtoL,0,10,132,0.4792690918003652,0.5220349852663339,0.04226769968159226
M03,20240624,2,RtoL,1,9,119,0.4801005370957926,0.5231149213035885,0.09432070298440311
