subject,session,block,direction,fold,trials,rows,observed_r,observed_fisher_z,null_mean_fisher_z
M01,20240318,1,LtoR,0,15,112,0.22739913126740857,0.23144505375651728,0.030734020352998607
M01,20240318,1,LtoR,1,14,93,0.2629712044252181,0.2692976799908431,0.06269488081215013
M01,20240318,1,RtoL,0,15,114,0.45579355316202047,0.4919888777819731,-0.007104706547893895
M01,20240318,1,RtoL,1,14,94,0.02479527288673686,0.02480035618587005,0.03492917461998591
M01,20240318,2,LtoR,0,14,155,-0.16527801558969665,-0.16680813045661533,-0.01664464757851791
M01,20240318,2,LtoR,1,13,138,0.15075202295434695,0.1519098578251491,-0.04124030613110896
M01,20240318,2,RtoL,0,14,166,0.13388702802467398,0.13469575204510767,0.003525022871863169
M01,20240318,2,RtoL,1,13,151,0.08520510576079511,0.08541220241505446,-0.009501108154627366
M02,20240318,1,LtoR,0,11,98,0.26778612696868787,0.27447740181469127,0.0037684740419476584
M02,20240318,1,LtoR,1,11,96,-0.09180382943819577,-0.0920630473273348,-0.03729028062195211
M02,20240318,1,RtoL,0,11,130,0.027695037697320596,0.02770212179526277,-0.0602738200872133
M02,20240318,1,RtoL,1,10,116,0.1807483542801082,0.18275620929677627,0.013973226579427223
M02,20240318,2,LtoR,0,13,162,0.19512990669657385,0.1976646386860321,-0.012552135270338258
M02,20240318,2,LtoR,1,13,169,0.14848675672512113,0.14959271913609767,0.03080092422691814
M02,20240318,2,RtoL,0,14,187,0.0006277447764507927,0.0006277448589079144,0.03710234544933251
M02,20240318,2,RtoL,1,13,177,-0.19323139916812782,-0.1956917401098816,-0.04846304060215744
M03,20240624,1,LtoR,0,12,164,-0.031209418459977108,-0.031219557333037197,-0.004985988563387959
M03,20240624,1,LtoR,1,11,139,0.19899255875553307,0.2016833559154982,0.04485339077055561
M03,20240624,1,RtoL,0,12,152,0.34498314920767215,0.3597379008912455,0.04090978126584492
M03,20240624,1,RtoL,1,11,147,0.16519570771257983,0.16672351222933188,0.06729072897827955
M03,20240624,2,LtoR,0,10,139,0.19975671580127313,0.20247914585211121,0.04739939960106071
M03,20240624,2,LtoR,1,10,130,0.23945450336734272,0.2441953553130883,0.024114252540263784
M03,20240624,2,RtoL,0,10,132,0.48006941072037246,0.5230744721412213,0.050903468590799104
M03,20240624,2,RtoL,1,9,120,0.4866754936798843,0.5316947413348917,0.054443002937377784
