subject,session,block,direction,fold,trials,rows,observed_r,observed_fisher_z,null_mean_fisher_z
M01,20240312,1,LtoR,0,18,180,0.19492986194402012,0.19745668403312516,-0.01250697660127806
M01,20240312,1,LtoR,1,17,175,0.11032888914958647,0.11077984544532814,0.018455674266739677
M01,20240312,1,RtoL,0,18,221,0.20649460975364922,0.20950704221928704,-0.007088883294527971
M01,20240312,1,RtoL,1,18,227,0.16544395502453368,0.16697873494458995,0.03918783749527865
M01,20240313,1,LtoR,0,20,220,0.16936561320498403,0.1710134697604218,0.010781347413420088
M01,20240313,1,LtoR,1,20,217,0.03642255528906149,0.03643867420575656,0.013928351296060173
M01,20240313,1,RtoL,0,20,150,0.25837117329038894,0.2643622797940433,-0.02169016385346175
M01,20240313,1,RtoL,1,20,168,0.27867998423357293,0.2862503368912391,0.007578394881663276
M01,20240314,1,LtoR,0,29,200,0.2919399911764039,0.30068569423931135,0.00023690413212521143
M01,20240314,1,LtoR,1,29,239,0.06620048271178935,0.06629744576248404,-0.008142791244172753
M01,20240314,1,RtoL,0,29,201,0.07058958982708304,0.07070718834103827,0.012559583139896453
M01,20240314,1,RtoL,1,29,192,0.24494985074372114,0.2500331788306356,0.04331685107563298
M02,20240312,1,LtoR,0,18,233,-0.06229799585560816,-0.06237877772708,0.01528076663671616
M02,20240312,1,LtoR,1,18,224,0.016247421552779435,0.016248851437040145,-0.008603456777427323
M02,20240312,1,RtoL,0,18,248,-0.05731834512123574,-0.05738124023960197,-0.010978228731722089
M02,20240312,1,RtoL,1,17,235,0.06103241966494406,0.06110837051653601,0.004414173377277113
M02,20240313,1,LtoR,0,27,289,-0.004888499516499403,-0.004888538457912061,0.013112565686553957
M02,20240313,1,LtoR,1,27,291,0.15951589736052826,0.16088991431671237,0.009500571149862249
M02,20240313,1,RtoL,0,27,271,0.13323705589230725,0.13403397455892138,0.020085627811471087
M02,20240313,1,RtoL,1,27,261,0.22070028810779743,0.22439213427277244,0.022693091252507618
M02,20240314,1,LtoR,0,25,271,0.250851885711499,0.25632169669640154,0.02268072817257394
M02,20240314,1,LtoR,1,24,249,0.07379248066648947,0.07392686146374497,-0.0031274731336843795
M02,20240314,1,RtoL,0,25,228,0.17688460634252723,0.1787648300547512,0.009392694258959795
M02,20240314,1,RtoL,1,24,212,0.07672370211559998,0.07687478144283517,-0.013066204987819914
M03,20240621,1,LtoR,0,22,344,0.12408830931726977,0.12473115912190932,0.024003115938692077
M03,20240621,1,LtoR,1,21,318,0.15554673165513355,0.1568197367285225,0.009976200307152265
M03,20240621,1,RtoL,0,22,328,0.6404039455933003,0.7588582342066788,0.01477140174703692
M03,20240621,1,RtoL,1,22,329,0.534456148826911,0.5963625011089855,0.01037806053691705
M03,20240622,1,LtoR,0,21,304,0.2141245812971795,0.21749015368705063,0.012971797173869103
M03,20240622,1,LtoR,1,21,292,0.09255963658597635,0.09282533200527839,0.0035535401331253298
M03,20240622,1,RtoL,0,23,346,0.12227681978902244,0.1228917580910409,-0.0007382369280710298
M03,20240622,1,RtoL,1,22,343,0.2669573066753622,0.2735847692646418,0.006519734917090491
M03,20240623,1,LtoR,0,21,290,0.11334690004099521,0.11383608535074728,0.0010015147648649507
M03,20240623,1,LtoR,1,21,292,0.12938842695266664,0.13011781394755753,0.013755364538108947
M03,20240623,1,RtoL,0,21,282,0.33239124303687934,0.34551411259627024,0.029063927436920215
M03,20240623,1,RtoL,1,21,301,0.3521927036369509,0.3679447543761782,0.013355550571411086
M05,20240729,1,LtoR,0,25,262,0.3285685833023127,0.34122275610730984,0.03524651889943451
M05,20240729,1,LtoR,1,22,249,0.209044112207859,0.21217156895335898,0.008574388032537437
M05,20240729,1,RtoL,0,25,257,0.048399083368445873,0.04843692772640474,-0.005926758821597179
M05,20240729,1,RtoL,1,23,250,0.3219212443584071,0.3337890027883086,0.012713784972293727
M05,20240730,1,LtoR,0,20,213,0.06225636699185966,0.06233698677933582,-0.011356463414767488
M05,20240730,1,LtoR,1,19,206,0.22293360580563387,0.22674102505355226,-0.006981928806726096
M05,20240730,1,RtoL,0,19,227,0.38365598453532895,0.4043396324401401,0.00016417413907137893
M05,20240730,1,RtoL,1,19,228,0.2065968640773617,0.20961385322242101,-0.027039174586024478
M05,20240731,1,LtoR,0,24,297,0.07277887197701806,0.07290777940906928,-0.0016362996666482654
M05,20240731,1,LtoR,1,23,284,0.24069404669825697,0.245510710197259,0.03795584256627374
M05,20240731,1,RtoL,0,23,271,0.123620137133797,0.12425569334669,-0.006719292071330843
M05,20240731,1,RtoL,1,23,274,0.4326590373376561,0.4631634975899344,-0.0021317482806613944
