subject,session,block,direction,fold,area,max_abs_residual_difference
M01,20240312,1,LtoR,0,CA1,6.415146192040311e-13
M01,20240312,1,LtoR,0,RSC,5.576650252692161e-13
M01,20240312,1,LtoR,1,CA1,3.8362368837141503e-13
M01,20240312,1,LtoR,1,RSC,4.289069099883136e-13
M01,20240312,1,RtoL,0,CA1,5.354328092010974e-13
M01,20240312,1,RtoL,0,RSC,2.139288746150214e-12
M01,20240312,1,RtoL,1,CA1,8.517769822802279e-13
M01,20240312,1,RtoL,1,RSC,1.3158918399369668e-13
M01,20240313,1,LtoR,0,CA1,7.96418486714856e-13
M01,20240313,1,LtoR,0,RSC,9.993117444651034e-13
M01,20240313,1,LtoR,1,CA1,5.78842529463941e-13
M01,20240313,1,LtoR,1,RSC,1.9702850462266497e-12
M01,20240313,1,RtoL,0,CA1,1.1313172620930345e-12
M01,20240313,1,RtoL,0,RSC,1.3695156120263619e-12
M01,20240313,1,RtoL,1,CA1,1.1473322292232524e-12
M01,20240313,1,RtoL,1,RSC,4.451161661478409e-13
M01,20240314,1,LtoR,0,CA1,9.783007737240723e-13
M01,20240314,1,LtoR,0,RSC,9.460765504343271e-13
M01,20240314,1,LtoR,1,CA1,2.6574298317427747e-12
M01,20240314,1,LtoR,1,RSC,1.4206760767798698e-12
M01,20240314,1,RtoL,0,CA1,7.049916206369744e-14
M01,20240314,1,RtoL,0,RSC,2.329803017175891e-12
M01,20240314,1,RtoL,1,CA1,2.8033131371785203e-14
M01,20240314,1,RtoL,1,RSC,2.886579864025407e-14
M02,20240312,1,LtoR,0,CA1,1.9222817781994195e-13
M02,20240312,1,LtoR,0,RSC,3.931022174441523e-13
M02,20240312,1,LtoR,1,CA1,1.0030865027488289e-13
M02,20240312,1,LtoR,1,RSC,3.749778265671466e-13
M02,20240312,1,RtoL,0,CA1,6.873390745454344e-13
M02,20240312,1,RtoL,0,RSC,3.8644087929640136e-13
M02,20240312,1,RtoL,1,CA1,7.731315587733434e-13
M02,20240312,1,RtoL,1,RSC,8.9081519938361e-14
M02,20240313,1,LtoR,0,CA1,8.082978730783452e-13
M02,20240313,1,LtoR,0,RSC,3.513300761426308e-13
M02,20240313,1,LtoR,1,CA1,3.7798930652144236e-13
M02,20240313,1,LtoR,1,RSC,4.028999356364693e-13
M02,20240313,1,RtoL,0,CA1,3.50941498084012e-13
M02,20240313,1,RtoL,0,RSC,2.0154711233288936e-13
M02,20240313,1,RtoL,1,CA1,9.528489108845406e-13
M02,20240313,1,RtoL,1,RSC,8.401335183094716e-13
M02,20240314,1,LtoR,0,CA1,6.113998196610737e-13
M02,20240314,1,LtoR,0,RSC,6.647460359943125e-13
M02,20240314,1,LtoR,1,CA1,5.687256221520443e-13
M02,20240314,1,LtoR,1,RSC,4.7024883986779287e-14
M02,20240314,1,RtoL,0,CA1,7.464029394554927e-13
M02,20240314,1,RtoL,0,RSC,1.183636522128495e-12
M02,20240314,1,RtoL,1,CA1,1.6092127630429331e-12
M02,20240314,1,RtoL,1,RSC,9.78106484694763e-13
M03,20240621,1,LtoR,0,CA1,6.460179613476669e-13
M03,20240621,1,LtoR,0,RSC,9.694745006783023e-13
M03,20240621,1,LtoR,1,CA1,9.758860386455126e-14
M03,20240621,1,LtoR,1,RSC,8.187062139342061e-13
M03,20240621,1,RtoL,0,CA1,4.0119296773610813e-13
M03,20240621,1,RtoL,0,RSC,5.571376693325192e-13
M03,20240621,1,RtoL,1,CA1,2.3044066654875905e-13
M03,20240621,1,RtoL,1,RSC,8.20732370954147e-14
M03,20240622,1,LtoR,0,CA1,4.2588155224621005e-13
M03,20240622,1,LtoR,0,RSC,1.2291556661381264e-13
M03,20240622,1,LtoR,1,CA1,2.638722573777841e-13
M03,20240622,1,LtoR,1,RSC,2.292332990094792e-13
M03,20240622,1,RtoL,0,CA1,1.4974410600387955e-12
M03,20240622,1,RtoL,0,RSC,1.4709899964771012e-12
M03,20240622,1,RtoL,1,CA1,3.7500558214276225e-13
M03,20240622,1,RtoL,1,RSC,3.086420008457935e-13
M03,20240623,1,LtoR,0,CA1,2.4022450695326825e-13
M03,20240623,1,LtoR,0,RSC,8.204409374101829e-13
M03,20240623,1,LtoR,1,CA1,8.468226120328382e-14
M03,20240623,1,LtoR,1,RSC,1.308397834520747e-13
M03,20240623,1,RtoL,0,CA1,8.738704204702685e-13
M03,20240623,1,RtoL,0,RSC,1.6628365351323282e-12
M03,20240623,1,RtoL,1,CA1,3.4791614034190843e-13
M03,20240623,1,RtoL,1,RSC,4.675704268208847e-13
M05,20240729,1,LtoR,0,CA1,9.83491066364195e-13
M05,20240729,1,LtoR,0,RSC,1.992628284597231e-12
M05,20240729,1,LtoR,1,CA1,1.277283834255627e-12
M05,20240729,1,LtoR,1,RSC,2.4252821972936545e-13
M05,20240729,1,RtoL,0,CA1,1.0573208975017678e-12
M05,20240729,1,RtoL,0,RSC,2.2412627309620348e-13
M05,20240729,1,RtoL,1,CA1,2.0067281170099704e-12
M05,20240729,1,RtoL,1,RSC,4.842654055536855e-13
M05,20240730,1,LtoR,0,CA1,1.064121013527597e-12
M05,20240730,1,LtoR,0,RSC,2.711719737646945e-13
M05,20240730,1,LtoR,1,CA1,5.374589662210383e-13
M05,20240730,1,LtoR,1,RSC,1.2436440766094847e-12
M05,20240730,1,RtoL,0,CA1,8.709422072428197e-13
M05,20240730,1,RtoL,0,RSC,1.3869461135129768e-12
M05,20240730,1,RtoL,1,CA1,2.5620755517152816e-12
M05,20240730,1,RtoL,1,RSC,2.2037927038809357e-13
M05,20240731,1,LtoR,0,CA1,1.0835221608829215e-12
M05,20240731,1,LtoR,0,RSC,1.4589163210843026e-12
M05,20240731,1,LtoR,1,CA1,1.3523626662959032e-12
M05,20240731,1,LtoR,1,RSC,9.60814761086226e-13
M05,20240731,1,RtoL,0,CA1,4.068967385251199e-14
