subject,session,block,direction,fold,trials,rows,observed_r,observed_fisher_z,null_mean_fisher_z
M01,20240312,1,LtoR,0,18,180,0.14307956546837391,0.14406810001060852,-0.015021590456282933
M01,20240312,1,LtoR,1,17,175,0.06392944306411401,0.0640167499074021,0.007887502785834626
M01,20240312,1,RtoL,0,18,221,0.19826092162220973,0.20092166819544413,-0.00020446942803253353
M01,20240312,1,RtoL,1,18,227,0.1427335136362893,0.14371483367093796,0.045219738453210256
M01,20240313,1,LtoR,0,20,220,0.15695650534519062,0.1582647910595077,0.007937130746000868
M01,20240313,1,LtoR,1,20,217,0.05220311718785916,0.05225061558702438,0.018967214123515992
M01,20240313,1,RtoL,0,20,150,0.26809681890514153,0.27481212436807556,-0.022525608994892463
M01,20240313,1,RtoL,1,20,168,0.23611236595085447,0.24065292117552817,0.018231247476576035
M01,20240314,1,LtoR,0,29,200,0.2328047932970359,0.23715294818366803,0.014516555111500037
M01,20240314,1,LtoR,1,29,239,0.05250941476060575,0.05255775508641754,-0.015372236857010696
M01,20240314,1,RtoL,0,29,201,0.08806882521272286,0.0882975814490705,0.025457516976707083
M01,20240314,1,RtoL,1,29,192,0.22053388680599814,0.22421721953814072,0.03224200569916159
M02,20240312,1,LtoR,0,18,233,-0.06356104338627436,-0.06364684714168532,0.018947666848608255
M02,20240312,1,LtoR,1,18,224,0.0040859319177755735,0.004085954655996052,-0.006610477211984765
M02,20240312,1,RtoL,0,18,248,-0.06186261102906978,-0.061941708444215864,-0.008484859420434717
M02,20240312,1,RtoL,1,17,235,0.030002315314037475,0.030011322262984794,0.0041345692006750714
M02,20240313,1,LtoR,0,27,289,-0.025346775002137476,-0.025352205183424986,0.016797392555533017
M02,20240313,1,LtoR,1,27,291,0.14957141645115943,0.15070201609874742,0.005227817753332824
M02,20240313,1,RtoL,0,27,271,0.12250702569825922,0.12312546487827317,0.020805409421885794
M02,20240313,1,RtoL,1,27,261,0.1520978644326023,0.15328728322523721,0.019999722473047345
M02,20240314,1,LtoR,0,25,271,0.24438153302934543,0.24942867469176175,0.028336178444048666
M02,20240314,1,LtoR,1,24,249,0.06927370243821808,0.06938483386884482,-0.0039118823275513005
M02,20240314,1,RtoL,0,25,228,0.18202964322744788,0.18408108962122705,0.00790075138841661
M02,20240314,1,RtoL,1,24,212,0.06104421377630144,0.061120208733254716,-0.022035532253826533
M03,20240621,1,LtoR,0,22,344,0.10923481348390791,0.109672422947071,0.02246540842662815
M03,20240621,1,LtoR,1,21,318,0.13737691211294456,0.13825104326079174,0.00636254451279049
M03,20240621,1,RtoL,0,22,328,0.6255963387193596,0.7341477407501455,0.010302235510533697
M03,20240621,1,RtoL,1,22,329,0.5688373063820976,0.6458022782669729,0.020846375813332572
M03,20240622,1,LtoR,0,21,304,0.13852109730186696,0.13941742474233382,0.015439035805689876
M03,20240622,1,LtoR,1,21,292,0.08500806998487385,0.08521372906997451,0.013856042141055453
M03,20240622,1,RtoL,0,23,346,0.07032207999234644,0.0704383439544985,-0.004432132585602986
M03,20240622,1,RtoL,1,22,343,0.2073494081025031,0.21040007747056808,0.02138702781491255
M03,20240623,1,LtoR,0,21,290,0.11527286889673409,0.11578755419658805,0.004375299595113862
M03,20240623,1,LtoR,1,21,292,0.17868287448017187,0.18062179185822777,0.016912946586420195
M03,20240623,1,RtoL,0,21,282,0.219911991198031,0.2235636258234653,0.019228259198124334
M03,20240623,1,RtoL,1,21,301,0.2971862105156762,0.30643038364228764,0.0005529369241458647
M05,20240729,1,LtoR,0,25,262,0.39279619798171744,0.4151020855319292,0.036565168903593244
M05,20240729,1,LtoR,1,22,249,0.2473236252202221,0.25256004039633506,0.013403038938837085
M05,20240729,1,RtoL,0,25,257,0.11842232939787317,0.11898061347561836,-0.007679907894546563
M05,20240729,1,RtoL,1,23,250,0.3642037844781577,0.3817240666021364,0.0050494944298148745
M05,20240730,1,LtoR,0,20,213,0.03897028027739869,0.03899002610385192,0.012202375463144462
M05,20240730,1,LtoR,1,19,206,0.20757108705181085,0.2106317265400345,-0.004367262483886195
M05,20240730,1,RtoL,0,19,227,0.3620682768649106,0.3792641773606712,-0.004041795220767126
M05,20240730,1,RtoL,1,19,228,0.32218301921026166,0.3340810701625693,-0.0316771960187663
M05,20240731,1,LtoR,0,24,297,0.07542591039829503,0.07556943500722692,-0.0015214255644468446
M05,20240731,1,LtoR,1,23,284,0.2309353810157509,0.23517731793028648,0.055766460931434794
M05,20240731,1,RtoL,0,23,271,0.16682211101806407,0.16839600819123124,-0.004221042999987467
M05,20240731,1,RtoL,1,23,274,0.47889988758056395,0.5215557967535687,0.0002180274120320701
