subject,session,block,direction,fold,trials,rows,observed_r,observed_fisher_z,null_mean_fisher_z
M01,20240312,1,LtoR,0,18,180,0.19077225385940286,0.19313846769220305,-0.013769380423888653
M01,20240312,1,LtoR,1,17,175,0.10379225217879559,0.10416739212417749,0.011552833267353013
M01,20240312,1,RtoL,0,18,221,0.20924510832076826,0.21238175909234416,-0.007980328701802883
M01,20240312,1,RtoL,1,18,227,0.16945012349546926,0.17110047707616954,0.035468631348040895
M01,20240313,1,LtoR,0,20,220,0.16575634015782703,0.16729992829743515,0.013959235999560653
M01,20240313,1,LtoR,1,20,217,0.039929261809501765,0.03995050248446379,0.015070287287878245
M01,20240313,1,RtoL,0,20,150,0.26995407726667153,0.27681428957431214,-0.022991298712872657
M01,20240313,1,RtoL,1,20,168,0.2570841246002813,0.26298365791234285,0.017184653680313983
M01,20240314,1,LtoR,0,29,200,0.23596249987803838,0.24049421288082962,0.006406044327204366
M01,20240314,1,LtoR,1,29,239,0.0810294806152166,0.08120752302805812,-0.008934297549630417
M01,20240314,1,RtoL,0,29,201,0.07496740867285157,0.07510832591481853,0.02172457893804365
M01,20240314,1,RtoL,1,29,192,0.23419849289909242,0.23862701886041898,0.03683133681837273
M02,20240312,1,LtoR,0,18,233,-0.06408139845525795,-0.06416933037431047,0.014002710877328935
M02,20240312,1,LtoR,1,18,224,0.011010591561970911,0.011011036543819337,-0.009257126621435956
M02,20240312,1,RtoL,0,18,248,-0.056343970023146214,-0.056403707848142665,-0.010742753240001703
M02,20240312,1,RtoL,1,17,235,0.04830891522343198,0.04834654826427281,0.004224285823142541
M02,20240313,1,LtoR,0,27,289,-0.004969461511319187,-0.004969502419783295,0.012255961960910819
M02,20240313,1,LtoR,1,27,291,0.16322897907192196,0.16470227890620467,0.01034852877903162
M02,20240313,1,RtoL,0,27,271,0.13668944515467998,0.13755041990291728,0.021651755021842196
M02,20240313,1,RtoL,1,27,261,0.24222445879799556,0.24713587391538794,0.026597052614778915
M02,20240314,1,LtoR,0,25,271,0.26629735417016387,0.27287431008818513,0.024717763532443853
M02,20240314,1,LtoR,1,24,249,0.06266865306850865,0.06275088772344248,-0.005392404859246508
M02,20240314,1,RtoL,0,25,228,0.2014205981428263,0.20421278295247583,0.007362302396372031
M02,20240314,1,RtoL,1,24,212,0.0860518644882918,0.08626521569092382,-0.018997443803207097
M03,20240621,1,LtoR,0,22,344,0.12392012455495571,0.12456034778542008,0.02492950517223761
M03,20240621,1,LtoR,1,21,318,0.1657645164691056,0.16730833561247008,0.010385848809046725
M03,20240621,1,RtoL,0,22,328,0.6517055174472873,0.7782576719091094,0.011132715537422837
M03,20240621,1,RtoL,1,22,329,0.5992417468755152,0.6919632511101947,0.01064693334293437
M03,20240622,1,LtoR,0,21,304,0.20868826680655606,0.21179949164308162,0.01806390620263713
M03,20240622,1,LtoR,1,21,292,0.11576425186208487,0.11628558313853948,0.013960303984083175
M03,20240622,1,RtoL,0,23,346,0.14554962757638776,0.14659070097072094,-0.0031932035321231562
M03,20240622,1,RtoL,1,22,343,0.3060448290066976,0.3161756356817994,0.015431729150164587
M03,20240623,1,LtoR,0,21,290,0.13823338166064378,0.13912409229279982,0.004473373980894587
M03,20240623,1,LtoR,1,21,292,0.1752259586105393,0.1770531268475812,0.010919253000283262
M03,20240623,1,RtoL,0,21,282,0.3318772287461976,0.34493636514491965,0.0309929468001644
M03,20240623,1,RtoL,1,21,301,0.36481226193020944,0.3824257777061032,0.016768738069512425
M05,20240729,1,LtoR,0,25,262,0.4076536777685078,0.432794035681823,0.03648954675722802
M05,20240729,1,LtoR,1,22,249,0.2590284865362075,0.2650667394597106,0.012556772023105142
M05,20240729,1,RtoL,0,25,257,0.08146494000150138,0.08164587603753007,-0.004974285363330907
M05,20240729,1,RtoL,1,23,250,0.37303235140298185,0.3919410129442393,0.011894734593761244
M05,20240730,1,LtoR,0,20,213,0.1339058070261083,0.13471487386736444,-0.003574462720949101
M05,20240730,1,LtoR,1,19,206,0.2052355530365306,0.20819226444815753,-0.008421551040210822
M05,20240730,1,RtoL,0,19,227,0.4070308917623607,0.4320473545163152,-0.0023159821580169956
M05,20240730,1,RtoL,1,19,228,0.317768856968825,0.32916340289178464,-0.026881357992705836
M05,20240731,1,LtoR,0,24,297,0.1335428169234816,0.1343452745139256,-0.003656984621327494
M05,20240731,1,LtoR,1,23,284,0.2966360377163462,0.30582702062127276,0.042461384292534037
M05,20240731,1,RtoL,0,23,271,0.17561957557237118,0.17745924123309353,-0.005878657381934733
M05,20240731,1,RtoL,1,23,274,0.4850439791977523,0.5295590829514454,-0.0009571397634352105
