subject,session,block,direction,fold,trials,rows,observed_r,observed_fisher_z,null_mean_fisher_z
M01,20240312,1,LtoR,0,18,178,0.18965614592294872,0.1919804612756777,0.005971394484024603
M01,20240312,1,LtoR,1,17,174,0.10853728093229938,0.1089665210719312,0.007395241045797076
M01,20240312,1,RtoL,0,18,222,0.20859715871595685,0.21170423694572388,0.010100768789698247
M01,20240312,1,RtoL,1,18,227,0.16247492813889602,0.1639276851174424,0.04261002310505359
M01,20240313,1,LtoR,0,20,220,0.15356621289264635,0.15479074939073278,0.011753926175609514
M01,20240313,1,LtoR,1,20,216,0.012852485325956427,0.01285319308127562,0.002319813373862995
M01,20240313,1,RtoL,0,20,150,0.2551763389779067,0.2609419285466432,-0.014376153421121165
M01,20240313,1,RtoL,1,20,167,0.2772876289287443,0.2847413763392617,0.03667477711800642
M01,20240314,1,LtoR,0,29,200,0.28886784417802935,0.29733059306686793,0.003913005092007918
M01,20240314,1,LtoR,1,29,239,0.06509912741052981,0.06519132307272288,-0.0037604597238134266
M01,20240314,1,RtoL,0,29,201,0.07286019609881153,0.07298953706597185,0.0138230208740145
M01,20240314,1,RtoL,1,29,192,0.2458999908262027,0.25104421728390036,0.014611780000757366
M02,20240312,1,LtoR,0,18,233,-0.046287309698524716,-0.046320409344565126,0.015626841911485095
M02,20240312,1,LtoR,1,18,223,0.016865603218005617,0.016867202623233518,-0.013631777589358485
M02,20240312,1,RtoL,0,18,248,-0.05628332517149479,-0.056342870066060945,-0.00993838163448086
M02,20240312,1,RtoL,1,17,235,0.06338469601794555,0.06346978642977547,0.004634826583502433
M02,20240313,1,LtoR,0,27,290,-0.011357377574857766,-0.011357865942128894,-0.0012862240626765704
M02,20240313,1,LtoR,1,27,292,0.16502290426630845,0.1665458659526902,0.012237498473973941
M02,20240313,1,RtoL,0,27,271,0.13550067887211265,0.1363392197807004,0.019785933636068512
M02,20240313,1,RtoL,1,27,261,0.21908791859016732,0.2226978393658547,0.024101151718226896
M02,20240314,1,LtoR,0,25,271,0.2498951869909448,0.25530101446429043,0.0142882409912618
M02,20240314,1,LtoR,1,24,250,0.0721479448203954,0.07227352177867637,0.004928007801559859
M02,20240314,1,RtoL,0,25,228,0.17409185255736573,0.1758833353044127,0.006278181351571543
M02,20240314,1,RtoL,1,24,213,0.08175747412574454,0.08194037161909658,0.02154780364634758
M03,20240621,1,LtoR,0,22,344,0.12783959019392224,0.1285429257399781,0.005101923074895466
M03,20240621,1,LtoR,1,21,318,0.1385708218372621,0.13946812241877324,0.005764788736046979
M03,20240621,1,RtoL,0,22,325,0.6457872084141516,0.7680381280823323,0.020348130722505624
M03,20240621,1,RtoL,1,22,330,0.5294903620739302,0.5894367094821958,0.0064143294924085045
M03,20240622,1,LtoR,0,21,302,0.21809194970500015,0.2216518934500613,0.005230507175803494
M03,20240622,1,LtoR,1,21,292,0.08467970461876455,0.08488298282888156,-0.006938413888879019
M03,20240622,1,RtoL,0,23,345,0.11990070722902417,0.12048028614895301,-0.001990207152059087
M03,20240622,1,RtoL,1,22,343,0.2722797341266281,0.2793244561542028,0.019598792646428016
M03,20240623,1,LtoR,0,21,290,0.11538703028488935,0.11590325451448859,0.0020962257783585818
M03,20240623,1,LtoR,1,21,295,0.11495952413221718,0.1154700013013421,0.02114681600604903
M03,20240623,1,RtoL,0,21,283,0.33557443800171116,0.3490969590582216,0.013706955871312218
M03,20240623,1,RtoL,1,21,301,0.35157523532385526,0.36724002476726425,0.014853700276990126
M05,20240729,1,LtoR,0,25,262,0.32939157719882817,0.34214563087275573,0.03062053835715159
M05,20240729,1,LtoR,1,22,249,0.23466660653714314,0.23912235552957314,0.026353953641729874
M05,20240729,1,RtoL,0,25,257,0.05212548546211088,0.052172772040045196,-0.008340258674933704
M05,20240729,1,RtoL,1,23,249,0.32075303951028494,0.3324862819502818,0.004642812924559862
M05,20240730,1,LtoR,0,20,210,0.05200395615134697,0.052050912399919484,0.013336993541148572
M05,20240730,1,LtoR,1,19,208,0.25027040823688435,0.25570126814392496,0.0036141416647065866
M05,20240730,1,RtoL,0,19,227,0.3786539714245768,0.39848739025237034,-0.002135186765084866
M05,20240730,1,RtoL,1,19,229,0.20460043145587525,0.20752930422427252,-0.0153768330974127
M05,20240731,1,LtoR,0,24,298,0.05569763744366148,0.0557553404546683,-6.702055686910646e-05
M05,20240731,1,LtoR,1,23,283,0.24226316505543244,0.24717699313343336,0.016062772222826385
M05,20240731,1,RtoL,0,23,269,0.13539031789206418,0.13622679633817195,0.02176798087654787
M05,20240731,1,RtoL,1,23,274,0.42482216834065956,0.4535615126674484,-0.0012676792224653656
