subject,session,block,direction,fold,area,max_abs_residual_difference
M01,20240312,1,LtoR,0,CA1,2.395028619872619e-13
M01,20240312,1,LtoR,0,RSC,9.77273817426294e-14
M01,20240312,1,LtoR,1,CA1,1.1746159600534156e-13
M01,20240312,1,LtoR,1,RSC,2.6564861421718433e-13
M01,20240312,1,RtoL,0,CA1,4.692080057822068e-14
M01,20240312,1,RtoL,0,RSC,3.3280600497676005e-12
M01,20240312,1,RtoL,1,CA1,4.3806624994147114e-13
M01,20240312,1,RtoL,1,RSC,1.1050604875606496e-12
M01,20240313,1,LtoR,0,CA1,7.550904346231846e-13
M01,20240313,1,LtoR,0,RSC,1.257605131144146e-12
M01,20240313,1,LtoR,1,CA1,2.2870594307278225e-13
M01,20240313,1,LtoR,1,RSC,6.050993039963259e-13
M01,20240313,1,RtoL,0,CA1,1.40495948208752e-12
M01,20240313,1,RtoL,0,RSC,1.2165268792330153e-12
M01,20240313,1,RtoL,1,CA1,7.699882398348734e-13
M01,20240313,1,RtoL,1,RSC,2.7713387140693158e-12
M01,20240314,1,LtoR,0,CA1,7.313594174718219e-14
M01,20240314,1,LtoR,0,RSC,8.577027976741647e-13
M01,20240314,1,LtoR,1,CA1,5.105915690251095e-13
M01,20240314,1,LtoR,1,RSC,5.603573161039321e-13
M01,20240314,1,RtoL,0,CA1,8.409939411535561e-15
M01,20240314,1,RtoL,0,RSC,7.519540545786185e-13
M01,20240314,1,RtoL,1,CA1,1.0766387781302456e-13
M01,20240314,1,RtoL,1,RSC,4.25659507641285e-13
M02,20240312,1,LtoR,0,CA1,9.14823772291129e-14
M02,20240312,1,LtoR,0,RSC,3.6365355171597e-13
M02,20240312,1,LtoR,1,CA1,3.2814029271577283e-13
M02,20240312,1,LtoR,1,RSC,8.478218127550008e-13
M02,20240312,1,RtoL,0,CA1,5.198064201294983e-13
M02,20240312,1,RtoL,0,RSC,3.497202527569243e-13
M02,20240312,1,RtoL,1,CA1,8.354150704548147e-13
M02,20240312,1,RtoL,1,RSC,1.7064127888488656e-13
M02,20240313,1,LtoR,0,CA1,1.3935380627216887e-12
M02,20240313,1,LtoR,0,RSC,1.736666366269901e-13
M02,20240313,1,LtoR,1,CA1,4.934663788702665e-13
M02,20240313,1,LtoR,1,RSC,5.542788450441094e-13
M02,20240313,1,RtoL,0,CA1,8.7316265329207e-13
M02,20240313,1,RtoL,0,RSC,7.246980793240709e-14
M02,20240313,1,RtoL,1,CA1,2.211175686994693e-12
M02,20240313,1,RtoL,1,RSC,1.2773671009824739e-12
M02,20240314,1,LtoR,0,CA1,4.56926163572291e-13
M02,20240314,1,LtoR,0,RSC,4.465525171859497e-13
M02,20240314,1,LtoR,1,CA1,1.6313339568085894e-13
M02,20240314,1,LtoR,1,RSC,2.2543078515013804e-13
M02,20240314,1,RtoL,0,CA1,4.625744232100715e-13
M02,20240314,1,RtoL,0,RSC,1.058875209736243e-12
M02,20240314,1,RtoL,1,CA1,1.2786161018851772e-12
M02,20240314,1,RtoL,1,RSC,1.121935877534952e-12
M03,20240621,1,LtoR,0,CA1,6.318695566776e-13
M03,20240621,1,LtoR,0,RSC,2.1223300894490649e-13
M03,20240621,1,LtoR,1,CA1,2.265410081747632e-13
M03,20240621,1,LtoR,1,RSC,1.4375028944968449e-12
M03,20240621,1,RtoL,0,CA1,4.1205927558962685e-13
M03,20240621,1,RtoL,0,RSC,1.1008138844914583e-12
M03,20240621,1,RtoL,1,CA1,5.869471575437046e-13
M03,20240621,1,RtoL,1,RSC,1.7483861580736004e-12
M03,20240622,1,LtoR,0,CA1,1.0880185641326534e-13
M03,20240622,1,LtoR,0,RSC,8.243683513597944e-13
M03,20240622,1,LtoR,1,CA1,6.613043446179745e-13
M03,20240622,1,LtoR,1,RSC,8.126832540256146e-13
M03,20240622,1,RtoL,0,CA1,4.485856130997945e-13
M03,20240622,1,RtoL,0,RSC,4.289069099883136e-13
M03,20240622,1,RtoL,1,CA1,1.8049450822843482e-13
M03,20240622,1,RtoL,1,RSC,3.376188217885101e-13
M03,20240623,1,LtoR,0,CA1,1.621272560647924e-13
M03,20240623,1,LtoR,0,RSC,1.1614875727872231e-12
M03,20240623,1,LtoR,1,CA1,2.0949908474676704e-13
M03,20240623,1,LtoR,1,RSC,4.2041370384993115e-13
M03,20240623,1,RtoL,0,CA1,1.4071521725611547e-12
M03,20240623,1,RtoL,0,RSC,8.291561881534903e-13
M03,20240623,1,RtoL,1,CA1,1.2271850202694168e-12
M03,20240623,1,RtoL,1,RSC,9.688500002269507e-13
M05,20240729,1,LtoR,0,CA1,4.750116966434348e-12
M05,20240729,1,LtoR,0,RSC,9.92164683744079e-13
M05,20240729,1,LtoR,1,CA1,6.698530619075882e-13
M05,20240729,1,LtoR,1,RSC,9.375000775690978e-13
M05,20240729,1,RtoL,0,CA1,2.4868301862213116e-13
M05,20240729,1,RtoL,0,RSC,7.0921046813055e-13
M05,20240729,1,RtoL,1,CA1,1.7495171977799373e-12
M05,20240729,1,RtoL,1,RSC,5.261763247332851e-13
M05,20240730,1,LtoR,0,CA1,2.119415754009424e-12
M05,20240730,1,LtoR,0,RSC,1.0268313976879995e-12
M05,20240730,1,LtoR,1,CA1,7.109521305004307e-13
M05,20240730,1,LtoR,1,RSC,2.886579864025407e-13
M05,20240730,1,RtoL,0,CA1,3.8882091990544154e-13
M05,20240730,1,RtoL,0,RSC,4.8407944319706075e-12
M05,20240730,1,RtoL,1,CA1,2.72032396608779e-13
M05,20240730,1,RtoL,1,RSC,1.4846734952556062e-12
M05,20240731,1,LtoR,0,CA1,1.5093482019779003e-12
M05,20240731,1,LtoR,0,RSC,5.043326867237852e-13
M05,20240731,1,LtoR,1,CA1,4.885813975619158e-13
M05,20240731,1,LtoR,1,RSC,9.004463841222332e-13
M05,20240731,1,RtoL,0,CA1,7.388534228880417e-14
M05,20240731,1,RtoL,0,RSC,9.159895064669854e-13
M05,20240731,1,RtoL,1,CA1,5.417055692902295e-13
M05,20240731,1,RtoL,1,RSC,3.2573943542502093e-13
