subject,session,block,behavior_blocks,ca1_units,rsc_units,ca3_units,ltr_traversals,rtl_traversals,eligible
M01,20240312,1,1,134,114,18,35,36,True
M01,20240313,1,1,53,30,18,40,40,True
M01,20240314,1,1,54,36,18,58,58,True
M02,20240312,1,1,38,7,11,36,35,True
M02,20240313,1,1,171,54,35,54,54,True
M02,20240314,1,1,153,60,28,49,49,True
M03,20240621,1,1,86,61,32,43,44,True
M03,20240622,1,1,77,51,36,43,46,True
M03,20240623,1,1,123,70,46,42,42,True
M05,20240729,1,1,69,100,124,49,48,True
M05,20240730,1,1,41,67,105,39,38,True
M05,20240731,1,1,56,55,136,47,46,True
