subject,session,block,direction,fold,trials,rows,observed_r,observed_fisher_z,null_mean_fisher_z
M01,20240312,1,LtoR,0,18,178,0.14775928074643443,0.14884892393612784,0.00531557563072243
M01,20240312,1,LtoR,1,17,174,0.06144879020087066,0.06152630849808424,0.009046018080019516
M01,20240312,1,RtoL,0,18,222,0.19978089397010224,0.20250432902011792,0.01854425151663368
M01,20240312,1,RtoL,1,18,227,0.13937090293598045,0.14028395974971197,0.04660696937756492
M01,20240313,1,LtoR,0,20,220,0.1449916856230593,0.14602073059522278,0.007752012453394451
M01,20240313,1,LtoR,1,20,216,0.023954663945998197,0.02395924745991561,0.004918201139154804
M01,20240313,1,RtoL,0,20,150,0.2644416559124374,0.270878031178383,-0.01394759459040699
M01,20240313,1,RtoL,1,20,167,0.23481007273537097,0.2392741880151163,0.03734428445918322
M01,20240314,1,LtoR,0,29,200,0.23276684098486894,0.23711282143353576,0.014834663828462878
M01,20240314,1,LtoR,1,29,239,0.0534964197021305,0.05354754072313004,-0.007761021691863503
M01,20240314,1,RtoL,0,29,201,0.0921668497832598,0.09242916551335385,0.027538631849807312
M01,20240314,1,RtoL,1,29,192,0.21871520916059303,0.22230637162065647,0.015842641192001294
M02,20240312,1,LtoR,0,18,233,-0.04667879502305998,-0.04671274237800075,0.018223741493182715
M02,20240312,1,LtoR,1,18,223,0.00968081337894922,0.00968111581858848,-0.016273417100197002
M02,20240312,1,RtoL,0,18,248,-0.05980305168626596,-0.059874498373260025,-0.010279957256815032
M02,20240312,1,RtoL,1,17,235,0.029515000301102885,0.02952357530252513,0.007171197157955208
M02,20240313,1,LtoR,0,27,290,-0.030838861131612393,-0.030848642996382816,-0.00043522228147693033
M02,20240313,1,LtoR,1,27,292,0.1540235599939636,0.15525917613656973,0.009207167050800744
M02,20240313,1,RtoL,0,27,271,0.125661076447405,0.12632884034625683,0.01870106664678486
M02,20240313,1,RtoL,1,27,261,0.14902143587410493,0.15013949728654608,0.017251779154909386
M02,20240314,1,LtoR,0,25,271,0.24298113034425564,0.24793986532098172,0.016665658372925784
M02,20240314,1,LtoR,1,24,250,0.06957631696620799,0.0696889140144079,0.0022838058339813964
M02,20240314,1,RtoL,0,25,228,0.1805441072669681,0.18254507223422647,0.005505215652497105
M02,20240314,1,RtoL,1,24,213,0.06760835636181595,0.06771164991283604,0.022770054371781794
M03,20240621,1,LtoR,0,22,344,0.11309301682857366,0.11357890540918514,0.0023724431437476498
M03,20240621,1,LtoR,1,21,318,0.12062802228200613,0.12121827515320309,0.0038091154443402908
M03,20240621,1,RtoL,0,22,325,0.6288041107775442,0.739435711801339,0.020269506387799497
M03,20240621,1,RtoL,1,22,330,0.5645983500953544,0.6395577432678619,0.009285623710007674
M03,20240622,1,LtoR,0,21,302,0.14348996539175907,0.14448710227644437,0.008897028588021045
M03,20240622,1,LtoR,1,21,292,0.07823450847646168,0.07839471226236919,-0.0024678178481210298
M03,20240622,1,RtoL,0,23,345,0.0665372839030196,0.0666357370722292,-0.002226116321092327
M03,20240622,1,RtoL,1,22,343,0.21073731383989128,0.21394280114696,0.0308682752380801
M03,20240623,1,LtoR,0,21,290,0.11786937937598502,0.11841983585624831,0.0023572931361721347
M03,20240623,1,LtoR,1,21,295,0.16523991849939518,0.16676896370162053,0.01779313887468393
M03,20240623,1,RtoL,0,21,283,0.21816167959244198,0.22172510677691318,0.013676719040075077
M03,20240623,1,RtoL,1,21,301,0.2934898360673652,0.30238077777968136,0.003804272285644729
M05,20240729,1,LtoR,0,25,262,0.3915251414047659,0.4136000270447347,0.0324265465572586
M05,20240729,1,LtoR,1,22,249,0.2680961478815761,0.27481140137915794,0.02731703971039003
M05,20240729,1,RtoL,0,25,257,0.12479912004287715,0.12545315081511244,-0.010439177267329744
M05,20240729,1,RtoL,1,23,249,0.36439341618739224,0.38194271603779123,0.010992000515500953
M05,20240730,1,LtoR,0,20,210,0.012103567846029926,0.01210415894084245,0.007803594463927233
M05,20240730,1,LtoR,1,19,208,0.22974253728026883,0.23391764052191114,0.012115523744108245
M05,20240730,1,RtoL,0,19,227,0.3586036481973194,0.3752825613195458,-0.005391664819059825
M05,20240730,1,RtoL,1,19,229,0.3193719054216283,0.33094751638160885,-0.007182477562545004
M05,20240731,1,LtoR,0,24,298,0.05586274444018865,0.05592096277377933,0.0021294136927332784
M05,20240731,1,LtoR,1,23,283,0.23620806386731286,0.24075427157054724,0.03774951827959202
M05,20240731,1,RtoL,0,23,269,0.1854395651095552,0.18761015087915606,0.012119610992710556
M05,20240731,1,RtoL,1,23,274,0.4764709758256489,0.5184087861262032,0.0007569119909803338
