subject,session,block,direction,fold,trials,rows,observed_r,observed_fisher_z,null_mean_fisher_z
M01,20240312,1,LtoR,0,18,178,0.1914558656994503,0.19384799474437991,0.005000143406106465
M01,20240312,1,LtoR,1,17,174,0.10101333799143207,0.10135902659841493,0.0039784342637160155
M01,20240312,1,RtoL,0,18,222,0.20987523505997224,0.21304082922926107,0.008181380711445542
M01,20240312,1,RtoL,1,18,227,0.16515883674097812,0.1666856070711574,0.03685132811901661
M01,20240313,1,LtoR,0,20,220,0.15054673529556817,0.15169980292003923,0.013261103287169188
M01,20240313,1,LtoR,1,20,216,0.012586601891904213,0.012587266622267697,-0.00022217266918207743
M01,20240313,1,RtoL,0,20,150,0.2662396744367244,0.27281222886278383,-0.015727890044385427
M01,20240313,1,RtoL,1,20,167,0.2570660051682034,0.2629642562726764,0.04784169224503189
M01,20240314,1,LtoR,0,29,200,0.23348120950058043,0.23786824484207697,0.006079940423408467
M01,20240314,1,LtoR,1,29,239,0.08296036455467884,0.08315147711646291,-0.003813934391499037
M01,20240314,1,RtoL,0,29,201,0.07926167751235115,0.07942829088338406,0.020643067360646368
M01,20240314,1,RtoL,1,29,192,0.2374512901852778,0.24207137201813914,0.013701642225647865
M02,20240312,1,LtoR,0,18,233,-0.04807497644073824,-0.04811206490141458,0.016320673829695605
M02,20240312,1,LtoR,1,18,223,0.01165076955236069,0.011651296755459825,-0.017801969522067453
M02,20240312,1,RtoL,0,18,248,-0.05528798631973077,-0.055344423927127476,-0.010768870127388816
M02,20240312,1,RtoL,1,17,235,0.05091588329054365,0.05095995042848321,0.005238556768431431
M02,20240313,1,LtoR,0,27,290,-0.011502721600837212,-0.01150322895946602,-0.0012587813193701252
M02,20240313,1,LtoR,1,27,292,0.16892192337187545,0.17055671226308675,0.013509758236409172
M02,20240313,1,RtoL,0,27,271,0.13834430164553832,0.1392371748463788,0.01981216019813385
M02,20240313,1,RtoL,1,27,261,0.24069085516552294,0.2455073223997393,0.025007697705010913
M02,20240314,1,LtoR,0,25,271,0.26285529118504225,0.26917315947184817,0.015096859783127182
M02,20240314,1,LtoR,1,24,250,0.06352543769012624,0.0636110970960218,0.0003548313469632235
M02,20240314,1,RtoL,0,25,228,0.19458185166364222,0.19709495336063002,0.003981421082333384
M02,20240314,1,RtoL,1,24,213,0.0902831060185241,0.0905296130993331,0.014917420900827654
M03,20240621,1,LtoR,0,22,344,0.12732303042688728,0.12801781879968913,0.005284928167663969
M03,20240621,1,LtoR,1,21,318,0.14937693703017313,0.1505030922143183,0.005462737128975132
M03,20240621,1,RtoL,0,22,325,0.6537656512800021,0.7818471626360453,0.023518698554515643
M03,20240621,1,RtoL,1,22,330,0.5973566246418084,0.6890270934453733,0.008859981501304117
M03,20240622,1,LtoR,0,21,302,0.2123267126444152,0.2156066506313696,0.006543990261485006
M03,20240622,1,LtoR,1,21,292,0.110382284410813,0.11083389898985119,0.0004342030115937023
M03,20240622,1,RtoL,0,23,345,0.14152542931114223,0.1424818417772652,0.000599164260630464
M03,20240622,1,RtoL,1,22,343,0.30999878102562894,0.32054406073035474,0.02279211945070296
M03,20240623,1,LtoR,0,21,290,0.13993291142418635,0.1408571469260585,0.006914748186870099
M03,20240623,1,LtoR,1,21,295,0.1614050848012819,0.1628290299080339,0.01891090883022772
M03,20240623,1,RtoL,0,21,283,0.33159689729679176,0.3446213684727807,0.017710032486193177
M03,20240623,1,RtoL,1,21,301,0.3623391438295173,0.37957594569204467,0.018351837518935956
M05,20240729,1,LtoR,0,25,262,0.4063364284933336,0.431215271675441,0.03144555401875729
M05,20240729,1,LtoR,1,22,249,0.28199485154451304,0.28984794097164995,0.0279406647216784
M05,20240729,1,RtoL,0,25,257,0.08613801526502694,0.08635200981515784,-0.006531918375784214
M05,20240729,1,RtoL,1,23,249,0.37479952998010635,0.39399542637747326,0.00789793645609554
M05,20240730,1,LtoR,0,20,210,0.12374869599854046,0.12438624943714154,0.009748659116616282
M05,20240730,1,LtoR,1,19,208,0.22692084633391985,0.23094074567701048,0.003632684750101596
M05,20240730,1,RtoL,0,19,227,0.40198121707270185,0.4260097536161391,-0.0018364062751321385
M05,20240730,1,RtoL,1,19,229,0.3124472693308441,0.3232551460780756,-0.01566597312168548
M05,20240731,1,LtoR,0,24,298,0.11555220600407902,0.11607066232132622,0.0005324599653502096
M05,20240731,1,LtoR,1,23,283,0.2998786970968829,0.3093863096392323,0.021636864497867555
M05,20240731,1,RtoL,0,23,269,0.19520611740450317,0.19774386725396614,0.01286178115836035
M05,20240731,1,RtoL,1,23,274,0.48087198204164644,0.5241179274170864,-0.0008865485127940769
